id;text;polarity
4030;Applied once at night as directed. Applied sunscreen in morning of SPF 30. Some dark pigmentation was lightened significantly but some places didn't lighten enough to go unnoticed. Acne was not helped, suprisingly, but the treatment did not make it worse either. Overall skin appearance looked more uniform.;positive
3675;You must take a SSRI daily. If you skip a few days you start to feel like you are getting a really bad cold, and disoriented. They are hard to wean off of. Do not stop taking! Talk to your doctor if you feel you want to reduce your dosage.;positive
1968;The treament consisted of taking lyrica 75mg once in the morning and again a bed. Take the soma as needed and the morphine every 12 hours.;positive
1954;For Fibromyalgia, in the morning I take half of a multi-Vitamin and 50mg of Lyrica. 5 days out of 7 days, I excercise for 20 to 30 minutes on a tredmill. In the evening, I take half a multi-Vitamin, 100mg of Lyrica, and 5mg of Flexeril;positive
1080;"This drug changed my life. I have taken every antidepressant in the book. I received some benefit from most of them but my depression always returned and many of them had unpleasant side effects, including weight gain and constipation. This drug helped me enjoy life again. I still have occasional bouts of depression due to life cirsumstances but they are much briefer and less severe. I feel much more outgoing and enjoy being around people more. I no longer want to withdraw from the world and now face the world with much more confidence. For people worried that this drug produces an ""artificial"" feeling of happiness--this is not the case. This is the way people are supposed to feel. you will still have a normal range of moods. I only wish this drug had existed sooner--my whole life would have been differnt.";positive
2557;I started on Keppra in Feb. '09, at first I thought it was the miracle drug. Boy was I wrong! At the time I was also on Depakote, Diamox and valium. First the Doctor added Keppra and began weaning me off the Depakote ER 500mg pm. 250mg. am. It took awhile to get off Depakote because I kept having effects from being weaned off it after being on it for 25 years. Then a few months later he started to wean me off of diamox, which I stopped a week ago, after a long process of being weaned off that drug. Now on Keppra alone with valium, I feel horrible and no heip from my Neurologist. I feel completely alone and with no help in sight!;negative
2002;This was prescribed by a physical therapist. I was also receiving the physical therapy for my wrist pain, which was from work related injury.(repetitive overuse). The pain killer was to help with the pain from just moving my hands.;negative
1821;One injection sq every week, some pain on injection, occasional mild bleeding at injection site, mild bruising at injection site;positive
1228;Take 2 pills every 4 to 6 hrs. for pain. Not to exceed 8 pills;negative
3868;I began replacement with 250mcg each day. I rather quickly had difficulty with rapid heart rate, dry hair and skin, emotionalness that wasn't true to me. It took several months of monitoring blood levels of thyroid hormone, monitoring syptoms and adjusting doses to find a right dose for me. I've been stable on my current dose for 3 years.;positive
1637;My grand mom was prescribed Premarin after her uterus was removed at age 34. She was a smoker with high blood pressure. Her doctor was aware of her smoking and blood pressure. At one point in her hrt therapy she was injecting Premarin per doctors orders. Now at age 76, grand mom continues to take Premarin because she was told by her doctor that it is the fountain of youth. She is very vain and does not care if this drug kills her as long as she looks young. She looks and acts older than her actual age. The risk do not out weigh the benefit. HRT should only be used to ease a woman into menopause. Grand mom still has hot flashes after 40 years of HRT. Had she not taken HRT she would be through menopause and never have suffered the stroke or cancers which took several years of her life away.;negative
3188;I started with a half pill, then it was increased to 1 due to ineffectiveness. It was increased to 1 1/2, then 2 pills.;negative
3018;"I went to urgent care because i was having severe kidney pain and i found blood in my urine. The dr. too found blood and protien and suggested this drug. I mentioned that i rarely take even and aspirin and am prone to side effects. I also mentioned that a week earlier i had bloodwork done and it showed an inflamed liver. I waited for the office to call me with the results which they never did. Finally i called and they said they had lost my number, but yes indeed i did have a UTI. (8 days later). I mentioned that i was having severe side effects and before i said what they were, they said, ""It doesn't sound related to the drug"". It was an apprubt brush off. Will these sypmtoms ever go away? What is the time frame?";negative
2951;I was impressed with the ability the medication had with my decreased desire to want to smoke, but the side affects/allergic reaction was to severe to continue using it.;negative
759;Got the nasal spray for running nose, probably due to allergy or cold weather. It has worked pretty well. Much better than OTC nasal apray.;positive
1151;I was to inject the said amount into the abdominal (below the waist, above the pelvic bone) before breakfast and lunch. The amount was changed when the medical professional I was having treat me decided to increase the dosage, and with terrible results (I was vomiting blood and could not eat or even drink water - I couldn't even stand the smell of food). I wish I had never heard of Byetta!!!!!!;negative
1242;Treatment consisted of orally taking two tablets a day. I was prescribed Cetaphil lotion and lip balm to keep side effects at bay. Roaccutane was an excellent treatment. Before going on it I spent hundreds of dollars on other anti-acne treatments such as Clearasil etc and had no joy. Don't waste your money on other treatments just see your GP and ask for Roaccutane if you have an ongoing acne problem.;positive
3093;I have been taking this product consistently for about 10 months. I take one tablet, twice a day with meals - usually one at the beginning of the day, another at the end of the day.;positive
2421;i was diagnosed with underactive thyroid in 1996. i initially went to the doctors for swollen sinuses and being tired alot. after testing me for underactive thyroid i was prescribed 25 mcg of synthroid. the doctor then continued to increase the dose until i got to the appropriate level. this took quite awhile, but i felt much better after the correct level was achieved. my depression lifted and i had alot more energy. overall i have been very pleased with Synthroid.;positive
369;Gabapentin 600 mg at bedtime. Hydrocodone 7.5 mg every 4 hours or as needed.Valium as needed for sleep.;positive
1095;I was prescribed Effexor XR for depression. I initially began on a low dose to make sure I could tolerate it. The first day, I noticed a decrease in anxiety as it made me a bit tired. After a few days, I could tell I was thinking more clearly and did not have that 'doomed' feeling as severe. I began doing more things and getting involved which helped even more. After a couple weeks, my Dr. doubled the mg. and that is the current level I am now on. I feel very good and only have set backs when things in my life are extremely stressful.;positive
1304;I am looking for a more natural remedy for high blood pressure and control for cholestrol. I do not like taking drugs but do not feel I have a choice at the this time? Any suggestions would be greatly appreciated.;negative
3787;I had a severe URTI with bronchial coughing, headache, muscular and joint pains, and general feeling of fatigue. My doctor presecribed Keflex as an antibiotic, she regarded it as a most effective treatment for this severe URTI. I was to take one tablet (I forget the dosage) once a day for a week to ten days. As I was working I had no time to rest and had to rely on Panamax to held suppress the symptoms. Unfortunately within a day my breasts became sore and swollen, and at the end of the week I returned to my GP who tried to diagnose pregnancy when there was not the slightest possibility of this. I finished the course of Keflex, only to take on another antibiotic at the end of the course since the Keflex did such a poor job.;negative
3709;"Morning: 1 capsule (150MG) Effexor XR; 1 tablet 100MG Lamictal. Evening: 2 tablets 100MG Lamictal.";positive
1595;Sadly, you can't (or shouldn't) take a drug like Xanax forever. So eventually, after using it for four months, I stopped. OMG. Would someone please explain to me whose brilliant idea it was to create a drug that when you stop taking it, causes the same symptoms that it was designed to alleviate to begin with?!?! I ended up going through even worse panic attacks after stopping the drug than I had to begin with! So in spite of the fact that it worked great to begin with, I would NEVER take this medication again. All in all it turned out to be a terrible experience. There are other far less addictive and nasty drugs available for anxiety.;negative
3041;The patient was referred to the psychiatrist by his cardiologist secondary to depression and increasing insomnia. The patient had been on welbutrin for years for depression and smoking cessation. The psychiatrist kept the patient on welbutrin and added xanax for anxiety and seroquel for sleep at bedtime. Slowly the family started noticing strange behavior, delusions, and almost dementia type characteristics in the patient that occured over a 4 month period and began to get more severe. The family attempted to talk about the changes with the patient but as true delusional behavior dictates, the patient was unable to see any of the changes. The forgetfulness, clumsiness, and personality changes such as irritability increased. The family attempted to contact the psychiatrist but in interim, the patient died of a cardiac arrest. Even after talking to the psychiatrist after the patient's death, the psychiatrist denied that seroquel had any affect on the situation. The family and myself as the primary caretaker believe that seroquel was directly responsible for the patient's death. We do not plan to seek legal retribution but hope that anyone that reads this will be more cautious about prescribing seroquel in someone that already has cardiac problems and to please be careful about it's possible interactions with other medications!;negative
2427;I was put on synthroid to cure a slow thyroid. It did not help and I discontinued use. I was changed to Armour Thyroid and have had fabulous results with it. Armour Throid is what was giving to before the drug companies came out with a synthetic version of it.;negative
2350;I have to take 1mg/day to stop hair loss. I did not notice results until recently after having taken it for 6 months and I am hoping to notice even more once I have been on it for a year.;positive
1666;After all these years on climara patch the pharmacy changed my patch to the generic brand and I'm having extreme swelling over my entire body, legs, feet, hand, face. It is awful. I will contact my doc today. Could the change from Climara to the generic cause this?;positive
2304;one and a half tablts once a day of lexapro combined with100mg topamax and 300mg trlileptal for bipolar disorder and major depression and ptsd.;positive
2294;After a break-up, I was very depressed and upset all the time. I began taking a dose of 20mg and within a few days, noticed a difference. I had fewer dramatic mood swings, and was able to handle the everyday things that got me upset in a more reasonable manner. I did not feel like crying as frequently as before the medication, and I feel it helps me keep a pretty even temper. I continue to take this medication because I have been told I have a natural chemical imbalance, and this keeps me from being overly emotional when it is unnecessary. Overall, I feel I benefit from taking it, and unless I miss a dose, I have no side effects.;positive
3330;The drug was prescribed for treating H-pylori infection but it caused ore severe pain than hte ailment itself. It was too strong a drug for me and I had to be switced erothromycin and amoxcillin after only 2 days of tetracycline combo. It also made me dizzy.;negative
2004;Along with taking Vicodin as prscribed, I had physical therapy about twice a week. Vicodin was particularily helpful at night. Before going to bed, I took one or one and a half tablets and was able to sleep quite well. Otherwise, I was very uncomfortable and was losing sleep.;positive
1364;Doctor diagnosed me with Viral Bronchitis after and xray. He then prescribed Penicillin to treat it. Worthless treatment, since Penicillin is totally ineffective to fight a virus.;negative
2766;Initial treatment began with application of medication and then wiping it off after a period of time. Used inconjunction wiht a mild moisturizer and tazorac. Continued application was extended until product is applies before bedtime and not washed off. Used daily;positive
640;"I have taken this about 3 different times, for three months at a time because thats what the doctor gave me. But this past time of taking it, I remember thinking ""This is so not worth it!"" as I couched over the toilet. So I recently switched to Ortho Cyclen and and going to test this one out to see if its any better. Seasonique is not bad, perhaps it was just me with the horrible side effects, but I will probably never take this ever again.";negative
2696;When Zyrtec alone didn't controll my allergies my doctor prescribed the Veramyst to try. This combination seems to be working, Zyrtec once a day and Veramyst twice daily. The Baclofen 10mg.is taken as needed one to four times a day. Sometimes I'm not bothered with spasticity too often but when I am I take the Baclofen and it works.Amitriptyline tabs 25mg are taken before bedtime.Requip tabs .5mg are taken in the evening. Gabapentin 300mg is taken 3-4 times a day depending on the severity of pain. Tetracycline HCL 250mg is taken once a day. The Copaxone 200mg is injected once a day. I discontinued the Detrol LA as I could not tolerate the extreme dry mouth.;negative
61;I was to take 10mg three times a day for headaches as needed. My doctor said if it works, I can stay on it. I recently decided to get off narcotics and this is a good medicine to take.;positive
3835;none, your questions do not include my problem..... the lid to the lumigan is not easily opened. At this point I still can open most bottles, etc this required a nut cracker. Not to good if person has limited skills opening objects... as are most of the glaucoma patient;positive
425;I have had migraines since I was 9 years old. Through JR high I would finish a bottle of aspirin in a week and a half. About every 3 or 4 days they were horrible with nausea , cold pack on my head, stay out of the light. About 9 years ago I developed cluster migraines. They last all day, nite for 4-5 months. I was introduced to imitex in 2005. THANK GOD!!! They have been increasing in cost terribly. I went through sinus aerials, allergy tests, bio feed back. etc. Nothing helped. I thought I would take my life when these clusters started. Not only could I not function but I had to sleep sitting up. Lying dowm made them worse. I have no side effects. But the imitrex is not working as well and I take aleve with it. Treximet is not strong enough.;positive
3557;"Cholesterol levels are high with genetic factors. LDL 170, HDL 80, total 276. The cardiologist used Vytorin as first and only treatment. My diet contained <20% fat intake, almost no saturated fat. I had pain in my legs within weeks, informed the doctor who checked my ck levels. Lab showed ""within normal range"" and I was told to resume the vytorin. Within 3 weeks the pain was unmanagable, so I called the doctor again. The nurse said I had to put up with a little discomfort but I insisted on another lab. Lab resulted in ck levels of 480, I was told to stop the vytorin and drink a lot of water. I changed cardiologist at that time.";negative
2886;A dermatologist prescribed Retinova and told me that the longer I used it, the better the results would be. This proved to be correct. He told me to mix a pea sized portion with my usual moisturiser but to only use it once a day, I used it at night. He also stipulated that it was very important to use an effective sun block as Retinova increased sensitivity to sunlight. A number of people commented on the improvement in my skin. After about 12 months a large, brown patch of sun damage on my temple flaked off and didn't come back. I was very disappointed when I went to get my usual 3 month prescription and was told that Retinova was no longer available. I have subsequently used Retin-A but without the same visible results. This wasn't prescribed by the original dermaltologist, he didn't believe Retin-A was suitable for what I wanted to achieve for my skin. Over the counter products containing retinol do help smoothness a little, but nothing compared to the dramatic changes I experienced when I used Retinova. What amazed me the most was how quickly some of the changes occurred, within only a matter of days.;positive
1480;Started 15 then to 30 then 45 then 60. At 60 unfunctional and urinary retention! Back to 30 then 45. Doesn't seem to work for me after one month.;negative
658;The pill was nice to keep you off your period, i took my pill everyday at different times, but the side effects were effecting the way i was living. I couldn't handle the depression, and anxiety. I felt like i was losing it. During the pill use, i was getting dizzy spells, after a while i just felt like i couldn't handle going through a day.;negative
728;I was seen by my doctor and he thought the medication would be the best route to take for my condition. I was told to put it on my face three time a week at night. However- I used it every night;positive
3126;Since being diagnosed with hypothyroidism, my doctor s would treat with basically the Levothyroxine. The levels would be increased until I was in the range , but I never felt quite right. I was still very tired and my memory, especially short-term, was really bad. I went to a couple endocrinologists, with the first one diagnosing the hypothyroidism as a result of Hashimoto s disease. Even with this diagnosis, the first endocrinologist did not suggest other treatments and I continued to suffer with excessive tiredness and memory problems. I decided to go for a second opinion, and this endocrinologist told me that some individuals react better with a combination treatment of Levothyroxine and Cytomel. This seemed to turn me around. The memory and tiredness have gotten better, still not optimal. It seems as long as one is in the range , doctors are hesitant to push the envelope. I would like to see physicians listen to their patients and adjust the meds until they feel better, not just go by the range .;positive
2986;I am nervous about taking a stimulant, but this Strattera doesn't seem to be doing the trick for my ADD. I also have no use for a med that makes me feel sleepy during the day...that is worse than the original ADD!! Also, I have not noticed any appetite reduction, but it has raised my blood pressure. I hear stimulants do that too, so I'm growing tired of messing with Strattera when I am getting stimulant side-effects with none of the stimulant benefits.;negative
4061;I gave my son a teaspoon of amoxicillin after each of three meals per day for ten days in total.;positive
1670;I don't remember the details, but I did follow the prescription directions to the letter. Did not take more than was prescribed to me and took it in the prescribed manner.;negative
3338;The side effects were so terrible, never felt so badly in my entire life. WOuldnt recommend for anyone unless they have a strong stomach;negative
3364;"When my cholesterol was found to be slightly elevated, my cardiologist put me on Lipitor. The first week was fine. The beginning of the second week I began to have sore muscles all over. By the end of the second week this was so bad I could hardly get out of bed in the morning. So I quit the Lipitor (did not consult the doctor on this); in the AARP magazine (or else newsletter, not sure which) there was a question for the medical doctor about possible natural replacements for the statin medications and he recommended Red Yeast Rice. I found a product with that and a few other cholesterol-lowering supplements (primarily CoQ-10) ad have been taking that with no side effects. I am due for another blood test in a couple of weeks, so we will see how well it has been working.";negative
1486;I took 60mg sunday evening...everything was fine that night. Monday do not remeber what I cooked for diner lunch and I was careing for my two small children. Monday night took my dose again.....I dont remeber doing this but my medication was counted for. Tuesday morning I was severly sleepy, dizzy and felt like I was in space all day. Tuesday night I took my regular 60 mg does and with in 1 hr I was extremly stoned...I was confusd, dizzy extreme heat sensation running threw my feet,neck and arms. I got chill and goose bumps in between. I habe high anxiety. Tingly feeling runing up and down my legs. Felt like and out of body experience because I was so stoned. Withdrall from only 3 days of meds is very uncomfortable....migraine Cymbalta should be off the market. People should be more informed about the side effects and withdral of this drug.;negative
2551;ongoing treatment for ADHD, originally I was prescribed 40 mg per day but dropped it to 30 mg when I had a few instances of heart palpitations and panic attacks;positive
368;To blanace my bi-polar, level 5 and help me to sleep. Helped to come off other drugs too.;negative
2846;This drug is poison and should not be given to children. My daughter was prescribed this for mild asthma. Doctors don't know or don't care about the dangerous, life-threatening side effects of this drug. This is Merck's biggest money maker. There are much more effective, less dangerous treatments for asthma. Spread the word. Get active.;negative
1604;My juvenile/pigmentary (open angle) glaucoma was diagnosed when I was 26 in 1989 (my mother also had it). I was prescribed 2 kinds of eye drops which were effective for some time, but after a while, they couldn't control the intraocular pressure in my left eye, so I had to undergo a trabeculectomy in 1992. Now I put drops only in my right eye (Cosopt 2 times a day and Xalatan once a day before I go to sleep). My eye pressure has been under control ever since.;positive
3790;4 pills per day, keflex. to treat sinusitis, tonsillitis, and my bad tooth ache. It got rid of all my infection..totally...;positive
804;"I take about 3/4 of a 10mg tablet about 20 to 30 minutes before I go to bed. It is best if I then just go to bed, but I often stay up until it ""kicks in.""";positive
3172;Before I started on the Prednisone I was sick for 2 weeks with a viral infection the chest (chest) my wheezing was really bad and I was prescribed to Symbicort Corticosteroid inhaler twice per day to help with the inflammation and airways. After a few days I was still getting worse and did feel minimal comfort from the puffer, and my overall infection was getting worse. I went back to the doctor and they added in a Ventolin puffer to open the airways 2 puffs 4 times per day in between the symbicort. 5 days later I went back to the doctor wheezing more and with a sort of stuffy nose and serious nasal pain (mostly from coughing so much. He told me I caught a sinus infection since the steroid lowers your emmmune system and makes it easier to catch another infection. He then prescribed me to 50 mg of Prednisone each day for a 3 day term so that it could tackle the inflammation fast so that the cortisone puffer would be able to catch up ( it couldn't work fast enough as it takes a while to start working) and also prescribed me to Amoxicillin for the sinus infection (since it was caused by bacteria) He said he would have prescribed me the antibiotic even if i didn't catch the sinus infection as an immune booster since prednisone lowers your immune system.. I took my first prednisone yesterday for the first time, it made me feel good for 9 hours or so but gave me some joint pain. The next day I felt a little better but still coughing and sick until I took the Prednisone again. (today at 2:00pm) It is now 11:00pm and I am flighing high (thats probably why I am writing in a blog and feel awesome, I feel like I could run a marathon. I also just drank a coffee and I don't think it helped. No coughing. Hopefully I can sleep tonight.. I used to take Ritalin for ADD and this kind of feels like that. I think tomorrow I will feel a little better, great again when I am on the Prednisone, and hopefully after that the puffer will Finnish off fixing the inflammation. Did anyone get hearing loss when taking prednisone? Its like when your on an airplane and your ears need to be popped but you cant pop them. I checked online and all I could find is prednisone fixes hearing loss..haha.. weird anyways.. Overall I think it works great!;positive
2442;Only been on Wellbutrin for three weeks and already feel a difference in my ADHD symptoms. Been on Concerta for years, but needed a drug working round the clock.;positive
1621;I have remained very stable and have a good outlook on life. Do not feel my age.;positive
159;As soon as I determine this is a migraine, (severe headache with nausea) I take a zomig, and in between 45 minutes and 60 minutes, I start to feel a little light headed, and nausea and headache pain withdraw. For exercise headaches, the same pattern applies. As soon as I determine this is an exercise induced headache, I take a zomig, and within 60 minutes the pain has subsided.;positive
903;I took Paxil for 2 weeks and after experiencing the horrible side effects I decided to tell my doctor that I wanted to stop taking it. My first 2 - 3 days were fine, until the dose was increased. Overall, this drug had to many negative side effects to be effective.;negative
27;First I experienced the state of anxiety and panic at the age of 20. Starting with Librium I was successful to managed and control my mood and over sensitive nature. Regular exercise, food and lively hobbies helped to relieve me form all sedative and tranquilizers. It was, probably, job related stress and tension what triggered the state of anxiety and panic. Now the above-mentioned medications are helping to perform my activities, mostly as a normal person.;positive
1066;Subdermal injections to various areas of the face, crow's feet around eyes, horizontal lines between eyebrows and vertical lines on forehead.;positive
3880;I was prescribed Abilify (15mg/daily) to assist in moderating my mood. In the three months I took it, I did not notice any significant improvement in mood stability, and DID notice majorly debilitating side effects. I finally convinced my doctor to wean me off of it, and I guarantee I will never go back!;negative
1261;Recommended dose is 200mg once a day, can also be taken again in the afternoon if needed.;positive
323;i was taking 2.5mg for many years and then i went onto 1mg 3-times daily and after 34years i am still taking them;negative
4031;this topical compound was used to reduce hyperpigmentation of skin. the medication was suggested for nightly use but the adverse effects were too intense, and the drug could not be tolerated but few times per week for the duration of 8 weeks.;positive
452;"I took the every evening every 24 hours for 14 days, according to my doctor's instructions. He did not want me to ""mix antihistamines"" and even though I thought Benadryl might be more effective, I didn't want a drug that would make me that sleepy and also that I would have to take every 6 hours, as opposed to every 24 hours. I would have prefferred a Xyzal dose that i could take every 12 hours, and then i could use benadryl at night without worrying about mixing anti-histamines, but since this was not possible I just used the Xyzal plus topical antihistamine creme on site of bug bite.";positive
