id;text;polarity
278;I would take 3 gms before bed. Wake up 2.50 to 4 hrs later for second dose. It was easy to wake up, many times I would wake up on my own. Sometimes I would try to wake up too early and would just sleep through my alarm and then wake up closer to the 4 hr mark. If I didn't have a busy job it would just be ideal to try to get closer to 8 or more hrs of sleep every night. That was not always practical for me. I started off at the 3 gms dose twice per night and never had to change. Sometimes, depending on the time of month I got less sleep with the dose - i would awake after only 2.5 hrs later and get around 5 hrs of sleep a night. Depending on where it was with my cycle, sometimes I couldn't wake up so I would lessen my second dose to 2.25 gms so I could wake up at 4 hrs after the dose.;positive
1100;I take 1 pill 37.5 mg each morning, they will up me to 75 mg and i will see if i feel better than better.;positive
2951;I was impressed with the ability the medication had with my decreased desire to want to smoke, but the side affects/allergic reaction was to severe to continue using it.;negative
1180;Only the medication is prescribed, no other forms of therapy are being used. Plan is to stay on medication at this time, due to the percieved stresses of life and fear of going back to what was.;positive
3569;Application nightly after washing. The first 2 weeks were unpleasant as irritation and breakouts where the most severe, after 4 weeks significant improvement was noted, optimal effectiveness being achieved by the 10th week.;positive
3053;My advise: have a sleep study done to make sure its a psych. issue instead of a medical issue because i also suffer from sleep apnea and now use a CPAP;positive
3479;Switched from Adderall to Dexedrine to compare the effects. Dexedrine is simply dextroamphetamine while Adderall is a mixture of Amphetamine salts. This might explain the increased effectiveness of the Dexedrine contrary to popular belief. I found it important to take several relatively low doses frequently to achieve a balanced effect.;positive
3036;I have been on and off lithium and paxil for years. I tried zyprexa, depakote Triliptal and Lamictal, but these made meunfunctionally tired or I had severe reactions to them. I have a problem where drugs create severe reactions and sensitivity in me so dr.s give small amounts of several rather than a mega dose of one. I tried Risperdal but it gave me severe panic attacks and restlessness. I started out with an antipsychotic and lithium at the hospital to bring the mania and mixed states down. Later I switched to seroquel and Paxil was added to help with my anxiety and depression. I was on Seroquel at a lower dose than most 200mg to start, 900mg lithium (anymore than that makes me very sick even though the blood tests show it's within normal limits)and Paxil at 25mg. Now 2 years later, as I am not in a severe episode I can get by on half the Paxil, 50 mg Seroquel and the lowest Lithium possible to keep it in treatment range. I raise the doses if I have to (with permission of the Nurse practitioner)and I take 25-50mg Seroquel as needed throughout the day if I need to for anxiety, although I don't need to very often. The combination of seroquel, Paxil and lithium works best together for me.;positive
1177;"I began taking 10 mg. in the morning and 10 mg. at night. THis was the best dose, but as I began to feel the need to get off the drug I eliminated the 10 mg at night. I felt a slight drop in well-being, but adjusted to it. THe withdrawal rom only 10 mg took several months and required the substitution of wellbutrin on order to get through it. I now take 150mg of wellbutrin which has a mood stabilizing effect, but not the feeling of ""well-being"" I had from prozac.";positive
1037;This is a great medication for ADD. I've never felt so together in my adult life. My Doctor doesn't want me to take it anymore because of my side effects. I'm so upset that I had side effects on this med because I loved how it worked.;positive
776;I discotinued the naproxen after 2 weeks and started taking 3 ibuprofen every 5 hours with no disturbance to sleep and better pain management.;negative
658;The pill was nice to keep you off your period, i took my pill everyday at different times, but the side effects were effecting the way i was living. I couldn't handle the depression, and anxiety. I felt like i was losing it. During the pill use, i was getting dizzy spells, after a while i just felt like i couldn't handle going through a day.;negative
3807;I still have the drive and can have a erection just not full, so a dosage of 20mg just gives me back what is needed.;positive
3876;I have been taking Levoxyl for 7 years. In that time, I have had no problems with depression and was able to cease taking an antidepressant. My metabolism is regular. I have no problems with fatigue.;positive
578;Patient received IV form in hospital and fluid came off quickly and effectively. Oral form, which she was sent home on, did not work and she ended up back in the hospital within 24 hours. One of the doctors later admitted that there was something about the oral form that caused it to be ineffective in certain situations.;negative
3677;My uptake levels were not severely out of balance. I started with 150 mg and felt the positive effects in 20 minutes. I was told it would take a week. I reduced the dosage to 75 mg then 37.5 mg after six months because I felt those doses to be too strong. I know others that found this drug helpful. Others it had no effect on at all, even at doses of 300 mg.;positive
265;I take 2 50mg tablets every 4-6 hours (no more than 8 a day). It has worked wonders for me. No more headaches and my body is only slightly sore now. It has elevated my mood simply because it has reduced the pain.;positive
3035;25mg once at bedtime to start first week, then 50, 75, 100, 150, then 200mg final dosage after weekly increase. Tiredness was suppose to subside in increased dosages, which really I feel it was so highly increased that it had a reverse affect and made it impossible to sleep or move or even hear a pin drop without thinking it was the front glass door being broken into.;negative
3159;In addition to whatever antibiotic I was currently on, I was to take 9 mg. of prednisone -- the first few times, it was 3 mg with each meal, but that was really too much, so later we did the three tabs all at once in the morning -- a day for several days, sometimes as few as 7, sometimes as many as 15. Then, I had to taper off the amount I took for several days, in 3 mg increments for a few days each new dose. Finally, I would be off it. This time.;negative
583;I take 800 mg of acyclovir at the first sign of tingling along lips or tip of nose. I've found this prophylactic approach to be most efficacious if I dose at 800 mg for a day or two subsequently. In doing so, I've reduced hsv1 outbreaks from one a month to one a year. If I do get an outbreak, I dose 4000 mg per day (800 mg apprx every 2-3 waking hours) for four days then taper to 800 to 1600 mg per day for two to three more days with excellent results. If I begin dose after an outbreak has initiated, it is immediately arrested from worsening though it still will go through it's viral cycle remaining at a very small scale as long as I continue treatment as described above.;positive
2003;My doctor did not mention any possible side effects, nor did he tell me it is a narcotic. Apparently, it is a drug of abuse. Also, nausea is a common side effect. I was only told that it was a pain killer that would alleviate my discomfort.;negative
939;About 5 years ago I had a serious recurring respiratory infection. I could not shake it, so my doctor - after using Augmentin and Septra, put me on Levaquin. The first course went well, with rapid resolution of my symptoms, but a few weeks later when the symptoms returned and I was given a second course of Levaquin, I began to have joint aches and pains which I attributed to my illness. By day 3 I could not rise from a chair. Both my mother and a close friend have had bad side effects as well. After treatment with Levaquin for 4 days, my mother began hallucinating and then had a heart attack and stroke, My friend has severe intractable pain which requires methadone for relief - after 1 course of drug.;negative
3306;My family doctor prescribed it for panic attacks. I saw a psychiatrist years ago but it really didn't do much apart from giving me tips on what to do constructively if I have a panic attack. Which of course didn't help because when you're paralyzed with fear you can't do much of ANYTHING constructive with your time.;positive
3942;It's pill you take 20 minutes before eating breakfast. It stops the acid from the stomach backing up into the esopogus.;positive
3094;I have been taking minocycline 100mg twice a day. At first I had no side effects what so ever. However after a week I started heaving headaches and they gradually got worse. It was when I started having neck pains, I stopped using Minocycline. Although I stopped using it, I never thought the pains were due to it - I thought it was from going out right after the shower which I often do. That same night I woke up with hives appearing in my body and towards the end of the day, my face got swollen (eyes and my inner lip.) At first I thought it was a food allergy, went to the doctor and got a full blood test (White blood cells, red cells, cholesterol, sugar, full allergy, almost everything.) During the waiting period of my results (took about a week and a half) I was taking steroid pills for allergies and I got back to normal within 5 days. On the 8th day, I was like hmm lets take minocycline again, I wanna be proactive and not break out on acne again. I took one pill at night after 8 days of not using it, and the next day I got itchy hands and a few hives and then I realized it was the minocycline that I was reacting to. Luckily I only took one pill and over the counter allergy medicine such as zyrtec got rid off my itchiness and I am back to normal again. So around 8-9 days later after I gave blood, the results came to my doctor. To my surprise everything came normal no allergies what so ever, no pollen, no nuts, no nuts, no dust completely NO ALLERGIES. My Red Blood cell count along with hematocrit came a little high but nothing else. I am almost confident to say that minocycline was what I was reacting to and my doctor told me to stop taking it.;negative
2007;take a pill 4 times a day until pain stops excersize lightly until muscles can rebuild and provide easier movement and flexibility;positive
1616;I use it every other day, mainly around the eyes and on the forehead. I've just begun using it on the neck, back of hands, and the rest of the face. I'll see how that goes!;positive
1835;Got on Yasmin to weaken my flow, my acne from the previous pill went away (ortho tri clyclen-lo), everything seemed great. I was slightly discouraged about my weight gain, a few pounds here and there, but 2 years later I am 40lbs heavier than I was when I started this pill. I do not solely blame the pill for this but I can imagine it has aided me in packing on the pounds. I exercise regularly and try to watch what I put in my mouth. I have random weird mood-swings that only seem to be getting worse. I stopped taking this pill the other day because I couldnt stand always being tired, fatigued, moody, and the headaches were unbearable. I have had a few since that day but hopefully everything will start to get better. I am looking for alternative pills because most of them make my acne really bad, and I have never had acne as a teenager. My mothers friends daughter was only on this pill 3 months and had liver problems. My health isnt worth it. I would rather bleed for 8-9 days than possibly die. Be careful ladies.;negative
1383;The process was slow for me, and it did not work in two or three days like the doctor said. I did notice that each day it became easier and easier to swallow things.;positive
3995;There is really not much to describe. I now take the drug once a week instead of once everyday and am very happy with taking it this way. As I mentioned above, as per my doctor's instructions, I also take Caltrate Plus 3x400mg.tablets a day, as he feels this will also help to strengthen and build my bones and keep them from becoming brittle.;positive
2448;The only thing this pill gave me was strong flu-like symptoms. I'll try it again and see if the results are better but so far I'm not impressed at all and $80 in the hole. Complete waste of money and suffered flu symptoms the entire next day. It's very difficult to be in the mood for sex when you feel sick with a throbbing headache.;negative
3974;Post emergency, the doctors felt that the reaction had to be caused by something else other than the Norvasc. They tested for urethral artery narrowing, kidney malfunction, etc. with all tests coming out normal. It was finally determined that the patients reaction to this medication was unusual, and the medication should not be repeated.;negative
2217;Benicar/HCT was taken once a day due to my blood pressure being high. It did help control my blood pressure, if I ever forgot to take it I could feel the results - headache, etc. When I first began taking it I felt really tired all the time but eventually got used to it. I started losing weight (not because of the medication, I was actually trying to lose weight) and my potassium got so low that my physician took me off of the HCT part and started me just on the Benicar 40 mg daily. I am still taking potassium pills until my labs show that my potassium is okay.;positive
2836;I purchased it in generic form most recently in India. I take one tab nightly. When my asthma is worse, I take it and it helps marginally. It is supposed to be leukotrine inhibitor.;negative
3202;I'm only on my second day and third dose, I'm taking this with 3 days, 2 times a day, 4 MG dose of Dexamethasone and I had a large shot of Rocephin;negative
3556;Vytorin was prescribed by my doctor for me for my high cholesterol. I took it for about a month and did not like the side effects. From the day that I began taking Vytorin I had diarrea. At first I thought it was purely coincidental until I stopped taking it for a few days. The side effects vanished. I took it again and they returned. I told my doctor about this and they switched me to Pravastatin ( same dosage) and the same side effects occurred. I then stopped taking the prescription.;negative
2096;"Tretinoin (pea size) was blended on the back of the hand with an equal amount of Blender (#5 step in the Obagi system). The mixture was then applied to the face, neck and chest avoiding the eyes and lips. The residual cream remaining on the hand was spread on the back of the hands to reduce ""age spots"". No noticeable side effects were evident on the hands, but the procedure was effective. Care was taken not to expose the treated areas to sunlight.";positive
1932;Took medication along with rest and fluids. Used fever reducer, salt water gargles, and tea tinctures to aleviate symptoms and speed healing.;positive
2734;i have been take amitriptyline for the last 22 years, without too serious side effects. i never miss a dose- if by some reason i dont have it - i will never be able to fall asleep at all. I started on 10mg but now i am taking 35mg, it helps.;positive
4088;After reading these reviews, I'm afraid of even starting this drug even with doctor's Rx. of t.5 mg daily. Occasionally very effective but below average I think. Why run tge risk of some of the horrible side effects, e.g. stomach surgery. No thanks. I'll take my prednisone!!;negative
1480;Started 15 then to 30 then 45 then 60. At 60 unfunctional and urinary retention! Back to 30 then 45. Doesn't seem to work for me after one month.;negative
1700;As stated I used tretinoins for preventive measures in late twenties and continue to use them today at 46. I use .1% Retin A Micro nightly with no side effects;positive
167;I suffered with migraines since I've been 22 years old and now I'm 59. No matter what medication I tried, it never took the pain away. A little over 10 years ago, I had a severe migraine while I was at an Acupunturist for a back treatment and asked him if he could do anything for my migraine and after giving him more information he came to the conclusion that my migraines are hormone related and he couldn't help. He gave me a sample of Zomig and told me to try it and IT WORKED!!! I was in awe and called him immediately to thank him for introducing me to this drug. I've been taking it since.;positive
1146;I took 2 pills at the onset of my menstrual cramps and then every 8-12 hours took 1 pill as needed for about 3-4 days until cramps were over. If cramps are bad, make sure to take every 8 hours on the dot because the medication stops working suddenly and unfortunately takes about an hour to an hour and a half to kick back in.. if cramps are only moderate, taking every 12 hours is okay.;positive
1833;I was given this to prevent pregnancy and i am going off because i'd rather have a child and an orgasm than no child and no orgasm;negative
1304;I am looking for a more natural remedy for high blood pressure and control for cholestrol. I do not like taking drugs but do not feel I have a choice at the this time? Any suggestions would be greatly appreciated.;negative
2692;"My doctor prescribed one 25mg capsule 3 times a day with food, for one month, which I followed; this treatment was completely successful for me. Since this treatment, I've used the nonsteroidal anti-inflammatory drug (NSAID) ibuprofen as needed to prevent further attacks.";positive
1091;The details in the treatment are just as I described shortly above. I went to the doctor, they prescribed it and I take it. Don't really know what else to say here for the treatment details.;positive
666;This was prescribed to me for possible whooping cough...due to exposure to Pertusis through my daughter. Even though my older daughter had received the Pertusis vaccine she still was finally diagnosed as having whooping cough. It took several doctors to finally catch what she had. In the meantime she was very sick...had several z-packs and failed to respond. I came down with a bad cold shortly thereafter and as a precaution I was given the Erythromycin [different doctor than the one she went to].;negative
2685;I want to clarify that except for the HBP I have never had these symptoms prior to taking the medicine.;negative
3612;Treatment was for sun damage to the skin. The retin-a was applied daily in the evening. It was advised not to use it durig the day since it could lead to excessive exposure of the sun.;positive
1137;Ten Miligrams daily. Of course, at first you have to deal wiht the clinic, but take-home doses are easy to earn as long as you're doing what you're supposed to be doing.;positive
2177;Since taking Zyrtec, my bloodpressure rose very high. First i did not recognize this was because of the Zyrtec, but discontinuing the drug brought back normal blood pressure.;negative
2168;Take one in the morning for prohylaxis when travelling or during pollen season. Take 2 for severe allergic reaction. Crush tablet between teeth and swallow to make it faster to absorb.;positive
82;I have a prescription for albuterol for sports related asthma. I usually get the Proair inhaler but the pharmacist insisted this was the same and gave it to me. The first day I had it, I went for a run. As usual, about 10 minutes in my chest begins to tighten and I cannot breath. I took a puff of the Ventolin HFA inhaler. No effect. I stopped running. I took another puff. No effect. Still cannot breath. I am now bent over with my hands on my knees struggling to intake air. I took several more puffs from the inhaler. No effect. I am now struggling to remain conscious, I am getting light headed and everything in my vision is pale. I begin to lay on my back, taking a few more puffs of the inhaler. No effect. My throat is now beginning to seize from the sheer force it takes to inhale tablespoon-sized breaths. I have a headache and hear a high pitched whining. I try several more puffs of my inhaler. No effect. I lay on the ground doing controlled breathing for several minutes. I tried a puff of Ventolin HFA here and there with no effect, so I gave it up. I'm laying wondering if this is my last day on Earth. About 15 minutes of pure agony later I catch my breath slightly. I now have an enormous headache and am dizzy. I get to my feet and start to walk toward my apartment (across the street). Along the way, my chest seizes up a couple more times, and a couple more times I use the inhaler. No effect. I now have to wait another month before I can afford a ProAir inhaler before I can even exercise again. I think Ventolin is for underdeveloped little kids who think they have asthma but actually don't. I have real asthma and this stuff almost killed me. The puff that comes out of it is nearly invisible, the puff from a Proair inhaler is actually noticeable and...a 'puff'--about 15x more comes from the Proair compared to the Ventolin. Even waking up in the morning, the slight tightness I have then, Ventolin does nothing for. My girlfriend doesn't understand why I wheeze before AND AFTER I use the Ventolin. Well, it's because it doesn't work for me--in fact, it almost killed me. Everything in this story is true, but I may have taken more puffs from the inhaler than I listed...any ?'s feel free to contact me: thecrookfromthebrook at yahoo.com. Thank you and take care.;negative
411;take a pill --headache goes away in half an hour or less---if you are very tuned in and take it a the first twinge youcan avoid the headache totally;positive
179;Chronic bronchitis-type sympptoms were treated, daily dosage varied and was confusing and difficult to administer. Not able to pinpoint if recovery came from the infection running it's course or from the drug. No side affects, but anxiety taking a steriod in such an unusual way.;negative
1237;Patient was to take 800 mg twice daily to treat ulcerative colitis but was found to be intolerant to Asacol and was discontinued. The side effects began about 7-10 days after starting the Asacol. The nausea and vomiting was not immediately associated with Asacol but was attributed to possibly having the flu. It was only until his urine became a brownish purple color that we thought it must be the Asacol and immediately stopped it. Symptoms went away when stopped.;negative
1212;I take 20 mg every morning with my vitamins. For 2 years I took 40 mg every other day, however I haven't felt the need to do this anymore.;positive
2414;After finding through a blood test that my thryoid levels were off, my doctor prescibed this medication for me. Within just a couple of days, I noticed a marked improvement in my energy level.;positive
3684;.. well I was taking this after breaking out of a relationship that I was in for 3 years. I was depressed living in a room that i rented off a friend. I was living before with the boyfriend in a home he owned but we bought together. I was working full-time and continued to do so after i moved but felt very alone and started to have panic attacks sorta in a mall.. trying to shop was impossible and I never left the house, only to work.. when i did go to the mall;negative
3489;"One dose daily was immediately effective in reducing swelling; blood pressure was reduced within 3 weeks. Night sweats and dry mouth were the primary side effects. Moderate weight loss (water weight) occurred within one week (total five pounds).";positive
3555;i did not observe cholesterol lowering although Your doctor may decide that, along with diet and exercise, VYTORIN is right for you. If so, remember to take 1 pill a day in the evening, as your doctor prescribes. Take VYTORIN with or without food the choice is yours. VYTORIN is a tablet containing two medicines: Zetia (ezetimibe) and Zocor (simvastatin). VYTORIN was clinically proven to lower bad cholesterol more than Lipitor or Zocor alone.Unexplained muscle pain or weakness could be a sign of a rare but serious side effect and should be reported to your doctor right away. VYTORIN may interact with other medicines or certain foods, increasing your risk of getting this serious side effect. So, tell your doctor about any other medications you are taking. Your doctor may do simple blood tests before and during treatment with VYTORIN to check for liver problems.;negative
9;Use inhaler twice a day once in the morning and once in the evening for a period of four weeks. It took approximately five days to week before lasting relief was obtained. Continuous use prevented the condition from recurring. Condition occurred on a seasonal basis in the mid fall and mid spring period. No symptons in Winter or Summer.;positive
3211;I took the pill once per day with or with out food. No other treatment was prescribed.;positive
3327;I took the antibiotic twice daily on an empty stomach to treat grade 5 rosacea. Although I still get the odd pustule one week prior to menstruation, I do at least generally now have a clear complexion. My face is still rather rosie - most people think I look healthy! Sleep, or rather lack of it, seems to affect the condition too. Before taking the tablets I had at least half a dozen spots on each cheek all of the tim.;positive
3216;Topical application did not work. Tried other prescription drugs as well (topical) but did not work. Finally was advised to try a 1:5 solution of white vinegar and this cleared up the issue. The vinegar made the nail bed inhospitable to fungus and nails grew in perfect, solving this 20+ year problem that plagued me. I recommend anyone suffering from nail bed fungus to try this. I put the solution in plastic bags tied with elastic bands and walked around with them for an hour a day. Small price to pay for relief of this nasty affliction.;negative
2774;I was going to include here that if anyone is ever taking an antibiotic or drug that was prescribed to them and they experience any hives, vomiting, or rash of any kind they should cease taking that drug as they most likely are ALLERGIC TO IT. Always read your instructions you get with your prescription that the pharmacy gives you. HIVES, or RASH ALL OVER BODY NAUSEA WITH VOMITING STOP taking drug as you are most likely allergic to it and cannot take it!!;negative
2012;Was having chronic insomnia, but I wanted a very mild sleep aid as I need to be very alert in my workday. I was able to get myself into a good sleep pattern without any drug dependence.;positive
3480;The pain in my side was found to be viral hepatitis. I continued with Diazepam for two weeks. Treatment then consisted of reducing fat in the diet and not drinking alcohol for 3 months. I lost a considerable amount of weight as a result.;negative
643;"I have been on the Birth control patch for years and after switching to seasonique, the change is amazing. My mood swings have stopped, my sex drive is back and my period is almost non-existant! This is seriously going to save my marriage ;) Love this pill!!!!";positive
3627;After washing my face and allowing it to dry, I apply the Retin-A in small amounts over my cheeks, nose, chin, and forehead. I use it every night, except when my skin is peeling too much from use. Then I either switch to every other night, or put a moisturizer on first (incidentally, my dermatologist said the Retin-A should be put on first, under the moisturizer). I rarely ever get pimples in the areas I use the product. Even though there are some side effects, the benefits outweigh that.;positive
376;givn by specialist after previous medicine epilim caused serious side effects still messing with dosage in the hope of getting his fits down to 0 but so far a vast improvement in seizures;positive
2067;Treatment started as a very low dose at 500mg/day at the evening meal. Dose was increased by 500mg on the second week and stayed the same for 3 weeks. On week 5 dose was increased by 500mg for another 2 weeks. Another 500mg increase up to 2000mg/day until beginning of the pregnancy.;positive
3074;I had been taking Effexor, Welbutrin and Ritalin for over three years. The combination worked better then any other cocktail I'd taken. I complaine3d to Doctor that I was feeling lethargic so he switched me to Emsam. After a month he increased the dose. I attempted suicide. Found a new doctor.. Now taking cymbalta and welbutrin. Which seem to be working OK but they ain't no miracle drug.;negative
3965;"I think the drug should be removed from the market, accept for severe cases of GERD , and, patients should only be on them for a couple weeks..otherwise, they should be told they will be on them the rest of their lives--they should never be allowed OTC...why do you think Prilosec has that new commercial out, ""let your doctor do his job""? Because everyone is complaining that they cannot get off of it now...";negative
4051;I was prescribed 21 Amoxicillin caplets which were 500mg per dose. I was instructed to take the medicine at regularly spaced intervals and to complete the prescribed course. I therefore took one caplet at breakfast at around 8am, one caplet after lunch at around 3pm and one caplet in the evening at around 10pm. I was not advised to take the Amoxicillin caplets with food and, apart from the first daily dose, the times I took the caplets did not coincide with meals. I swallowed the caplets with water as advised.;positive
3740;Right now I am just taking 25 mg Lamictal once a day. I recently just stop taking Adderall, and so far have experience less anxiety. I also take busiprone twice a day with the lamictal.;positive
2064;Capoten was to be taken 150 mg daily - in divided doses. Propanolol was 20 mg twice a day, and the Hydrochlorothiazide was to be 12.5 mg daily. Blood pressure baseline was 180's over 110. Resultant decrease was to 150s over 105. Stopping the Capoten relieved the cough after about 3 weeks of being off the medication.;negative
3233;WEAR THE RING 3 WEEKS IN A ROW AND REMOVE THE WEEK OF YOUR PERIOD AND INSERT A NEW RING THE FIRST SUNDAY AFTER YOUR PERIOD.;positive
3219;"Very simple once you establish a simple routine. ""Shared Solutions"", the company behind Copaxone provides you with everything you need for each injection, including; in home injection training, which I was able to get down with just one session, but they will come as often as you need. You load an injection tool with a syringe. Remove the cap from the syringe (simple). Wipe the inection site with a kind of cheap, provided alcohol wipe. Let the alcohol dry (30-60) seconds. Place the tip of the tool on the injection site, press a button and the tool injects the shot in about 7-15 seconds. It varies. Yeah, I called them cheap alcohol wipes, but they are good enough and I'm picky. I buy my own because they are inexpensive. Most important as stated earlier by ""49 year old female"" rotate the injection sites. Rotate, Rotate, Rotate. No tissue damage for me so far from Copaxone, but minor damage from Avonex on leg. Rotate!!!!!!!!!!!!!! Shared Solutions offers great support via the phone or website. I used them a bit in the beginning, but not much since, but I do know that they are available until late evening with knowledgeable, understanding and sensitive ""NURSES"". They deserve the ""Atta Boy-Girl"" this paragraph took up.";positive
693;I was started on a low dose, which cleared my acne in a couple of months but my doctor then had me repeat another 4 month session to make sure the clearing of my skin was permanent. I know there has been a great deal of controversy about this drug and its side effects. But for me, it is the one medicine that I have taken that made an enormous difference in my life.;positive
11;topical and internal steroid meds and antibiotics to avert infection, all help just until the next outbreak which after the last bout was about a week or so.;negative
3989;I took the fosamax with 8 oz. of water and walked around for an hour.The first couple of years I did not take calcium supplements. Then I did. Since I do not think the results were really an improvemrnt, Now I am taking a calcium supplement with vitamin D and magnesium and a fairly new drug called foseum which is suppose to be entirely natural like an herb, but more expensive than fosamax that must be taken twice a day.;negative
282;I take my first dose (3.0 g) around 11 pm. take second dose around 3 am. I wake up like around 6 am. I want to stay in bed for more but cant. I am not sleepy. There are mornings were I am still feeling groggy, and by noon i would be okay to do my daily chores.;positive
3871;Initial dosage 15 years ago was 150 micrograms/day. Increased steadily for first 5 years to 300 micrograms/day. Has remained at 300 micrograms per day for last 10 years.;negative
351;As I stated, increasing the dosage of this medication finally got my epilepsy under control. I was originally prescribed this drug for pain management of a chronic pain problem, but in a lower dose. While I feel that is has only had a minimal effect of lmy pain, the higher dose has gotten my seizures under control. I also suffer from depression and a panic disorder that may be helped from this drug, but I think that that may be true indirectly, as I think the elimination of the seizures has been the main cause of the relief, particularly the anxiety.;positive
968;I was prescribed this because of anxiety and mild depression by my GP but it did not improve my condition and seemed to make my anxiety worse. My anxiety was partly due to my personality and partly due to the fact that I had a mentally ill son which caused me a lot of worry and stress. My GP thought that SSRI's may help and prescribed fluoxetine. This did not help and he changed me to Cipramil which suited me better as it did not make my anxiety worse but it did not really help my anxiety that much so I stopped taking this as well.;negative
3328;The Doctors told me this is a very rare side effect but it ruined my life for over two years.;negative
1333;Take one per day. I have stopped taking them. Don't forget I already take Dulcolax for my constipation, had I known these recommended tablets had a side effect of constipation I would have refused them. It is back to the Gaviscon for me, it is gentle, pleasant to take and liquid. Shell-like Capsules and me do not get along.;negative
3124;chronic ulcers - my tube that carries the food to the stomach had an opening the diameter of a pencil - the reglan was to help empty my stomach once the food finally got there - otherwise it would sit there because my stomach was tilted and the food couldn't drain easily and therefore the stomach acids would keep eating at the food and also the ulcers till they could never quit bleeding - 3 stomach surgeries later and no stomach left to cut away i am healed and need no medications not even mylanta or tums;negative
3330;The drug was prescribed for treating H-pylori infection but it caused ore severe pain than hte ailment itself. It was too strong a drug for me and I had to be switced erothromycin and amoxcillin after only 2 days of tetracycline combo. It also made me dizzy.;negative
955;I refused the drug treatments suggested by my neurologist. The potential side effects were just to much for my taste. As a Pharmacist, I've opted for 2 different treatments. One is a product called Solleve, which are vibrating insoles for your shoes. I have found some relief as well as reversal of my condition after 2 weeks of treatment. I also put myself on a daily specific vitamin regimen. I am also going to add a product called the ReBuilder to my therapy.;negative
881;Took 20 mg of paroxetine each morning (easier to remember in the morning). Reviewed effectiveness with prescribing physician every 3 months.;positive
