token,occurrences,total_weight_toward_negative,mean_weight_toward_negative
inside,2,0.3618,0.18088
request to,1,0.1803,0.18031
pc,1,0.1785,0.17848
USER,10,1.7809,0.17809
hate it,1,0.1775,0.17752
character,3,0.532,0.17733
absolutely terrible,1,0.1769,0.17688
auto,2,0.3536,0.1768
menus,2,0.353,0.17652
real,2,0.3529,0.17647
this seems,1,0.1752,0.17518
behavior,3,0.5242,0.17472
world,1,0.1746,0.17463
would you,2,0.3487,0.17435
USER it,1,0.1738,0.1738
not set,1,0.1732,0.1732
requires,1,0.1724,0.17236
was,7,1.1981,0.17115
is just,1,0.1709,0.17092
i am,4,0.6826,0.17065
make some,1,0.1686,0.16859
? ?,2,0.3354,0.16772
CODE instead of,1,0.1671,0.16714
completely,1,0.1667,0.16668
result,5,0.8315,0.1663
problem,5,0.8276,0.16553
because,16,2.6448,0.1653
why do you,2,0.3302,0.1651
fear,2,0.3301,0.16505
worried,6,0.9876,0.1646
year,1,0.1642,0.16424
extra,2,0.328,0.164
getting,2,0.3258,0.16289
it is,5,0.8105,0.16211
scroll,1,0.1611,0.16109
money,1,0.1609,0.16087
okay,1,0.1605,0.16046
CODE or,1,0.1602,0.16023
c,8,1.2752,0.15941
you use,1,0.1594,0.15939
1 the,1,0.1593,0.15933
this one,3,0.4767,0.1589
seconds,1,0.1586,0.15859
counting,1,0.1574,0.15736
pixel,1,0.1571,0.15707
resources,3,0.4689,0.1563
screen,3,0.4687,0.15625
using CODE,1,0.156,0.15598
come,2,0.3118,0.1559
1000,1,0.1554,0.15542
using it,1,0.1553,0.15533
the view,2,0.309,0.15451
or just,1,0.1541,0.15414
use for,1,0.1536,0.15359
this was,1,0.1526,0.15259
not want,1,0.1524,0.1524
this be,1,0.1518,0.15182
out there,1,0.1506,0.15056
been,4,0.6022,0.15055
controller,1,0.1494,0.14945
seem to be,1,0.1494,0.14937
its,3,0.4477,0.14923
it would be,2,0.2973,0.14867
i fear,1,0.1486,0.14864
do it in,1,0.1468,0.14678
you have to,2,0.2926,0.1463
platform ?,1,0.1463,0.14629
has anyone,1,0.146,0.14601
all,21,3.0536,0.14541
question !,1,0.1437,0.14366
i want the,1,0.1431,0.14313
believe,1,0.1424,0.14242
fires,1,0.1416,0.14158
chrome,2,0.2827,0.14137
and should,1,0.1409,0.14088
s the,4,0.5597,0.13993
you re,10,1.3959,0.13959
not,62,8.6099,0.13887
5,3,0.4144,0.13814
global,1,0.1378,0.1378
of an,3,0.4133,0.13777
byte,1,0.1374,0.13743
gets,2,0.2748,0.13738
i call,2,0.2736,0.13681
? the,2,0.2735,0.13677
bit,5,0.6833,0.13666
debug,1,0.1366,0.1366
run,6,0.8178,0.13629
code,17,2.293,0.13488
body,1,0.1343,0.1343
we have,2,0.2685,0.13427
it was,2,0.268,0.134
gives,3,0.3982,0.13274
_,1,0.1325,0.13246
when,17,2.2487,0.13228
this is for,1,0.1317,0.13169
this question,3,0.391,0.13032
pain to,2,0.2605,0.13027
scared,1,0.13,0.12999
of CODE,2,0.2596,0.12978
32,2,0.2588,0.12942
angry,2,0.2587,0.12936
who,1,0.1293,0.1293
you already,2,0.2579,0.12896
headers,1,0.1285,0.12855
this is extremely,1,0.1285,0.12853
the order,1,0.1279,0.12789
this is,10,1.2769,0.12769
template,2,0.2549,0.12745
written,3,0.3823,0.12744
even,5,0.6372,0.12744
stl,1,0.1274,0.12736
terms,1,0.1274,0.12736
but that,2,0.2543,0.12717
years,1,0.127,0.12701
go for,1,0.1268,0.12675
it would,2,0.2529,0.12645
is not,7,0.8802,0.12575
really,14,1.7552,0.12537
using this,1,0.1252,0.12522
reference,4,0.5007,0.12518
the job,1,0.125,0.12502
i find,4,0.4997,0.12494
it s,12,1.4987,0.12489
proper,2,0.2477,0.12387
due to,1,0.1232,0.12321
due,1,0.1232,0.12321
in a,4,0.4927,0.12318
is extremely,1,0.1225,0.1225
anybody,1,0.1218,0.12183
seriously,1,0.1217,0.12167
that is not,1,0.1214,0.1214
something to,1,0.121,0.12098
afraid i,1,0.1209,0.12093
target,1,0.1208,0.12076
even if,2,0.2412,0.12059
should have,1,0.1202,0.1202
slow,3,0.3606,0.1202
CODE,16,1.9139,0.11962
slow for,1,0.1196,0.11959
blank,1,0.1193,0.11931
considered,1,0.1193,0.11929
had,2,0.2381,0.11907
solution that,1,0.1187,0.11869
the width,2,0.2366,0.11829
a CODE,1,0.1179,0.1179
that is,4,0.47,0.1175
i see,2,0.2347,0.11737
studio,2,0.2327,0.11636
editing the,1,0.1163,0.11634
it in,5,0.581,0.11621
i,81,9.4094,0.11617
is still,1,0.1161,0.11614
will help you,1,0.1161,0.11613
data to,1,0.116,0.11605
m,17,1.9699,0.11587
flash,2,0.2302,0.11508
duplicate,1,0.1149,0.11489
keywords,1,0.1149,0.11485
may not be,1,0.1148,0.11477
do not want,1,0.1142,0.11425
such,3,0.3401,0.11335
their,3,0.34,0.11334
most,6,0.6793,0.11322
warning,1,0.1131,0.11315
complete,1,0.113,0.113
order of,1,0.113,0.11297
aware,1,0.1129,0.11292
i get,1,0.1129,0.11286
i do this,1,0.1125,0.11255
that it,3,0.3375,0.11251
i can not,1,0.1123,0.11229
linq to,1,0.1123,0.11228
changes,4,0.4486,0.11215
maybe,3,0.336,0.112
result in,1,0.1117,0.11167
does work,2,0.2223,0.11116
the problem,3,0.3333,0.11109
h,1,0.111,0.11104
user s,1,0.1109,0.11092
yourself,2,0.2217,0.11083
this even,1,0.1108,0.11081
it should be,2,0.2214,0.11068
? i,9,0.9958,0.11065
because the,1,0.1105,0.11055
assembly,2,0.2209,0.11044
set the,1,0.1103,0.11025
here,9,0.9917,0.11018
way to get,1,0.1096,0.10963
ideal,1,0.1096,0.10959
here s,1,0.1091,0.10911
operations,1,0.109,0.10899
the interface,1,0.1086,0.10863
worried about,4,0.434,0.1085
also the,1,0.1077,0.10771
that,61,6.5621,0.10757
answer you,1,0.1075,0.10747
from the,4,0.4297,0.10742
CODE instead,1,0.1068,0.10681
idea,2,0.2135,0.10675
right,8,0.8491,0.10614
you should be,1,0.1061,0.10608
back to,3,0.3175,0.10582
each,1,0.1056,0.10558
in but,1,0.1054,0.10537
system,1,0.1053,0.10525
editing,1,0.1052,0.10523
worries me,1,0.1051,0.10507
net 3,1,0.105,0.10496
its not,1,0.1049,0.10486
let me,1,0.1044,0.10437
try to,5,0.5212,0.10424
single,2,0.2076,0.10382
not be,1,0.1036,0.10355
generated,1,0.1035,0.10354
items,2,0.2069,0.10344
ll need to,1,0.1033,0.10332
so,15,1.5437,0.10292
use case,1,0.1026,0.10264
will help,1,0.1026,0.10262
anything to do,1,0.1025,0.10249
because i,2,0.2048,0.10239
s more,1,0.1024,0.10236
int,1,0.1023,0.10234
but i,6,0.613,0.10217
same,8,0.8163,0.10204
open the,1,0.1016,0.10156
these two,1,0.1013,0.10126
when i,2,0.2024,0.1012
sure if,2,0.2024,0.10118
and that,1,0.1011,0.10106
tried,3,0.3018,0.10059
violating the,1,0.1005,0.10045
right i,1,0.1004,0.10042
then use,2,0.2006,0.10032
is it,7,0.7012,0.10017
in firefox,2,0.1996,0.09978
not sure if,2,0.1994,0.0997
but,34,3.3859,0.09959
can make,2,0.1991,0.09956
just to,1,0.0994,0.09939
any of,1,0.0994,0.09936
let,4,0.3954,0.09886
simply,2,0.1971,0.09856
width,2,0.1964,0.09818
i do,10,0.9816,0.09816
regex,3,0.2942,0.09806
that this is,1,0.0978,0.09784
would be extremely,2,0.1956,0.09779
almost,1,0.0976,0.09757
3 d,1,0.0975,0.09747
is this,3,0.2909,0.09696
me is,1,0.0965,0.09655
is,86,8.2921,0.09642
fear that,1,0.0964,0.09636
game,1,0.096,0.09597
every,4,0.3827,0.09568
on it,2,0.1911,0.09555
to debug,1,0.095,0.09505
are not,6,0.5696,0.09493
of making,1,0.0949,0.09489
of,71,6.7364,0.09488
from the same,1,0.0948,0.09485
away,2,0.1895,0.09476
to use,7,0.6606,0.09437
not a,3,0.283,0.09434
goes,3,0.283,0.09432
to add,5,0.4708,0.09415
ide,1,0.094,0.09399
!,15,1.4092,0.09394
can you,2,0.1872,0.09362
know that,1,0.0935,0.0935
steve,1,0.0933,0.09332
that this,2,0.1864,0.09319
to deal,1,0.0932,0.09318
domain,1,0.093,0.09305
on my,1,0.0927,0.09275
not sure,2,0.1853,0.09266
USER no,1,0.0926,0.09265
side note,1,0.0923,0.09228
div,1,0.0923,0.09228
to the question,1,0.0923,0.09227
every time,1,0.0922,0.09221
folder,2,0.1843,0.09213
looks,2,0.1842,0.09212
javascript,3,0.2762,0.09207
way,13,1.1942,0.09186
i run the,1,0.0918,0.09176
type of,1,0.0915,0.09155
however it,1,0.0914,0.09139
users,1,0.0911,0.0911
to do with,2,0.1821,0.09106
trying to,4,0.3616,0.0904
! is,1,0.0903,0.0903
full,2,0.1806,0.09029
jni,1,0.0903,0.09029
hash,2,0.1803,0.09015
off,1,0.0899,0.08988
swf,1,0.0897,0.08971
put,4,0.3577,0.08943
violating,1,0.0893,0.08925
? it,1,0.0891,0.0891
have a,8,0.712,0.089
currently,2,0.1777,0.08887
the CODE,1,0.0888,0.0888
reference to,1,0.0887,0.08873
first time,1,0.0887,0.08866
the first time,1,0.0887,0.08866
really hate it,1,0.0885,0.08848
although i,1,0.0884,0.08843
be a,2,0.1766,0.0883
the answer,1,0.0883,0.08826
it yourself,1,0.0882,0.08818
you ever,1,0.0881,0.08814
everything,4,0.3525,0.08812
yet,2,0.1761,0.08807
server,7,0.615,0.08785
partial,1,0.0873,0.08734
i m,16,1.3973,0.08733
interface and,1,0.0873,0.08728
is no,4,0.3487,0.08716
me !,1,0.0871,0.08713
hard,1,0.087,0.08704
up on the,1,0.0869,0.08687
suffering,2,0.1736,0.0868
team,1,0.0866,0.0866
older,1,0.0866,0.08659
write your,1,0.0865,0.08649
the complete,1,0.0864,0.08639
to work,4,0.3455,0.08637
deployment,1,0.0861,0.08611
ll need,1,0.086,0.08597
setting,2,0.1713,0.08565
all of,1,0.0855,0.08549
updates,1,0.0854,0.08543
you need,7,0.5956,0.08508
idea ?,1,0.0849,0.08489
else,3,0.254,0.08465
what you are,1,0.0846,0.08458
it will,3,0.2537,0.08458
got,2,0.169,0.0845
so a,1,0.0845,0.08446
would say,1,0.0843,0.08434
move,2,0.1682,0.0841
a date,1,0.0839,0.08395
why would,1,0.0838,0.08384
to scroll,1,0.0836,0.08362
the order of,1,0.0835,0.08354
such a,1,0.0835,0.08351
a bit,1,0.0835,0.0835
instead of CODE,1,0.0835,0.08345
is that,4,0.3337,0.08343
so it,1,0.0834,0.0834
! you,2,0.1666,0.08331
crash,1,0.0833,0.08326
on what,1,0.0831,0.0831
outside,5,0.4152,0.08305
problems,3,0.2486,0.08288
id,1,0.0828,0.0828
google,3,0.2484,0.08279
it a pain,1,0.0828,0.08275
taking,2,0.1655,0.08273
the timer,1,0.0824,0.08238
to have,3,0.2468,0.08225
cause,2,0.1636,0.08178
set,3,0.245,0.08168
detail,2,0.163,0.0815
application ?,2,0.1629,0.08145
up on,3,0.2442,0.0814
the error,1,0.0812,0.08116
the whole,1,0.081,0.08103
you need to,6,0.4849,0.08082
000,1,0.0807,0.08073
why ?,2,0.1613,0.08065
? that,1,0.0805,0.08052
more than,1,0.0805,0.0805
? i ve,1,0.0804,0.08041
timeout,1,0.0803,0.08029
it makes,1,0.08,0.07997
force,3,0.238,0.07932
seems,6,0.4758,0.07929
to read,4,0.3169,0.07923
to determine,1,0.079,0.07903
there is no,4,0.3154,0.07885
to repeat,1,0.0785,0.07845
so it s,1,0.0783,0.0783
work around,1,0.0783,0.07829
which will,1,0.0783,0.07829
and then,2,0.1564,0.07822
a database,1,0.0782,0.0782
s not a,1,0.0782,0.0782
getting a,1,0.0781,0.07812
empty,2,0.156,0.07802
the delegate,1,0.078,0.07802
how about,1,0.078,0.07801
practice,1,0.0776,0.07764
interactive,1,0.0775,0.07745
at it,1,0.0773,0.07734
step,1,0.0773,0.07725
m afraid i,1,0.0772,0.07725
make an,1,0.0771,0.07709
for them,1,0.077,0.07705
side of,1,0.0768,0.07683
specify,1,0.0768,0.07678
move the,1,0.0768,0.07678
and the,7,0.5369,0.0767
the project,2,0.1531,0.07657
is also,3,0.2296,0.07655
to CODE,1,0.0765,0.0765
the difference,2,0.1527,0.07634
i will,1,0.0763,0.07627
determine,1,0.0762,0.07617
of that,1,0.0762,0.07616
tell you,2,0.1522,0.0761
do this,7,0.5316,0.07594
my,16,1.2132,0.07583
and replace,1,0.0757,0.07574
is very,1,0.0757,0.07569
effort,1,0.0757,0.07566
in an,2,0.1512,0.07562
must,3,0.2266,0.07555
might be,2,0.1507,0.07535
doing so,1,0.0753,0.07531
studio i,1,0.075,0.075
to go,2,0.1499,0.07493
and on,2,0.1495,0.07474
refresh,1,0.0747,0.07465
note you,2,0.1489,0.07444
can tell,1,0.0744,0.07439
get it working,1,0.0744,0.07435
is almost,1,0.0743,0.07426
gives you,1,0.0742,0.07419
main,2,0.1482,0.07409
lot,3,0.2219,0.07398
makes,4,0.2934,0.07336
lot of,1,0.0733,0.07326
may not,1,0.0732,0.07318
it seems,3,0.2192,0.07308
because of,4,0.2921,0.07302
say,4,0.2914,0.07286
guess,2,0.1452,0.07262
later,1,0.0726,0.07262
get this,1,0.0726,0.07259
the point of,1,0.0725,0.0725
are,38,2.7502,0.07237
anything to,1,0.0723,0.07234
i know that,1,0.0723,0.07226
deploy,1,0.072,0.07201
cross,2,0.1438,0.07189
a thing,1,0.0717,0.07171
use of,1,0.0716,0.07159
the build,2,0.1428,0.0714
excruciatingly,1,0.0711,0.07107
excruciatingly slow,1,0.0711,0.07107
iphone,1,0.071,0.07097
name,4,0.2834,0.07085
with different,1,0.0707,0.07073
instance,1,0.0705,0.07046
has not,1,0.0704,0.07037
if there,2,0.1401,0.07007
not include,1,0.07,0.06995
standard,3,0.2093,0.06977
? i have,2,0.1395,0.06976
during,3,0.2084,0.06946
basic,1,0.0694,0.06943
integer,1,0.0693,0.06929
tfs,1,0.0692,0.06922
rather,3,0.2076,0.06921
your users,1,0.0692,0.06917
easier,3,0.2074,0.06913
have to use,2,0.1382,0.06908
probably,1,0.0691,0.06907
blog,2,0.1378,0.0689
hate that,1,0.0687,0.0687
plan,1,0.0686,0.06863
this problem,1,0.0686,0.06863
that seems to,1,0.0685,0.06848
that seems,1,0.0685,0.06848
too i,1,0.0683,0.06828
problematic,2,0.1365,0.06827
most of,1,0.0682,0.06818
and they,1,0.0682,0.06818
db,1,0.0679,0.06788
USER what,1,0.0676,0.06765
adding,1,0.0672,0.06722
about the,5,0.3358,0.06717
first line,1,0.0671,0.06715
of my,1,0.0669,0.06693
several,1,0.0669,0.06688
problem is,1,0.0668,0.06683
to me,2,0.1335,0.06677
recommended,1,0.0668,0.06676
members,1,0.0666,0.06664
changes in,1,0.0665,0.0665
definition,1,0.0664,0.06642
you load,1,0.0663,0.06635
? if,4,0.2654,0.06635
out it,1,0.0663,0.06626
automatic,1,0.0662,0.06625
will have,1,0.0662,0.06622
question is,4,0.2644,0.0661
a,93,6.1453,0.06608
my knowledge,1,0.0659,0.06585
i always,1,0.0658,0.06584
m thinking of,1,0.0658,0.06577
open,4,0.2615,0.06539
you ll need,1,0.0653,0.06529
duplicate of,1,0.065,0.065
correctly,3,0.195,0.06499
less,3,0.1949,0.06498
static,1,0.065,0.06495
see how,1,0.0646,0.0646
about memory,1,0.0646,0.06458
via the,1,0.0645,0.06455
full screen,1,0.0645,0.0645
svn,1,0.0643,0.06428
have,39,2.4995,0.06409
row is,1,0.0639,0.06392
this seems to,1,0.0638,0.06385
that has a,1,0.0637,0.06368
ok,2,0.127,0.06349
be more,2,0.1269,0.06346
anyone,5,0.3168,0.06335
can i make,1,0.0633,0.06326
in place,1,0.0633,0.06326
original,4,0.2527,0.06317
anyone have,1,0.0632,0.06316
register,1,0.0631,0.06309
view,5,0.3151,0.06302
poorly,1,0.063,0.06297
what s the,2,0.1259,0.06295
implement a,1,0.0628,0.06284
of the,18,1.1295,0.06275
named,1,0.0628,0.06275
4,2,0.1253,0.06263
such as,1,0.0625,0.06253
delphi,1,0.0625,0.0625
is missing,1,0.0624,0.06243
a line,1,0.0623,0.0623
hit,3,0.1868,0.06227
do with,2,0.1245,0.06224
we,6,0.3735,0.06224
something,5,0.3111,0.06223
shift,1,0.0622,0.06216
m thinking,1,0.0621,0.06208
i m thinking,1,0.0621,0.06208
message,2,0.124,0.06198
m using this,1,0.062,0.06198
browsers,2,0.1233,0.06167
your test,1,0.0614,0.0614
wrap,1,0.0614,0.06139
that has,1,0.0613,0.06131
ios,1,0.0612,0.06119
constant,1,0.0611,0.06106
year old,1,0.0611,0.06106
suggestions ?,1,0.061,0.06095
where,6,0.365,0.06083
when using,1,0.0607,0.06074
business,1,0.0607,0.06073
to be aware,1,0.0605,0.06053
file and,2,0.1207,0.06033
that needs,1,0.0602,0.06017
wanted,3,0.1802,0.06008
as it,1,0.0601,0.06008
local,1,0.06,0.05996
be using,1,0.0598,0.05979
work is,1,0.0596,0.05958
page,5,0.2977,0.05954
back,7,0.416,0.05943
working,4,0.2371,0.05928
and it s,1,0.0593,0.05925
worrying,1,0.0592,0.05915
anyone have a,1,0.0591,0.05909
have to go,1,0.059,0.05902
on is,1,0.0587,0.05872
call it,1,0.0585,0.05855
characters,2,0.1168,0.0584
thinking,1,0.0584,0.05839
theory,1,0.0583,0.05831
in theory,1,0.0583,0.05831
this,58,3.3693,0.05809
the server,2,0.1161,0.05807
apps,1,0.058,0.05803
heavy,1,0.0579,0.05788
downloading,1,0.0577,0.05766
aware of,1,0.0575,0.05754
and do not,1,0.0575,0.05753
to the,13,0.7475,0.0575
instructions,1,0.0574,0.05743
is the same,1,0.0571,0.05711
to what,1,0.0571,0.0571
visual,2,0.1142,0.0571
to specify,1,0.057,0.05704
do you use,1,0.0569,0.05686
the program,1,0.0568,0.05677
that have,1,0.0567,0.05675
people,4,0.2267,0.05668
the fact,1,0.0566,0.05661
the fact that,1,0.0566,0.05661
as,24,1.3563,0.05651
server ?,1,0.0565,0.05648
is terrible,1,0.0564,0.05642
html,3,0.168,0.056
trigger,1,0.0559,0.05585
coming,1,0.0557,0.05573
browser,4,0.2228,0.05569
sometimes,1,0.0556,0.05564
vs,7,0.3892,0.05561
jump,1,0.0555,0.05553
is to,2,0.111,0.0555
thinking of,1,0.0554,0.05542
order,4,0.2209,0.05522
i use the,1,0.0552,0.05519
i wanted,2,0.1102,0.05512
bit of,2,0.1101,0.05506
surely,1,0.055,0.05503
not possible,1,0.055,0.05499
parsing,1,0.055,0.05498
posted,1,0.0549,0.05491
which works,1,0.0549,0.05488
absolutely,3,0.1643,0.05477
know which,1,0.0546,0.05461
if i,4,0.2183,0.05457
it ?,1,0.0543,0.05432
size and,1,0.054,0.05398
you want to,2,0.108,0.05398
admin,1,0.0539,0.0539
and i do,1,0.0538,0.0538
it if,1,0.0537,0.05372
word,1,0.0537,0.05368
seen,1,0.0536,0.05364
with which,1,0.0536,0.05356
x,1,0.0535,0.05348
function,8,0.4264,0.0533
property,2,0.1064,0.05319
delegate,1,0.0532,0.05316
width of,1,0.0531,0.05313
the log,1,0.0529,0.05287
immediately,1,0.0528,0.05281
this to,3,0.1584,0.05279
really painful to,1,0.0527,0.05274
need to add,1,0.0526,0.05258
but that s,1,0.0525,0.05247
servers,2,0.1049,0.05246
going,3,0.1573,0.05243
USER it s,1,0.0522,0.05219
tags,1,0.0522,0.05215
a pain to,2,0.104,0.052
are you getting,1,0.052,0.05197
you getting,1,0.052,0.05197
should be,7,0.3633,0.05189
guid,1,0.0517,0.05171
mind,2,0.1034,0.05168
32 bit,1,0.0516,0.05161
exception,1,0.0515,0.05154
mouse,2,0.1028,0.05142
key,3,0.1541,0.05136
you be,1,0.0514,0.05135
i have no,1,0.0513,0.05129
around for,1,0.0513,0.05129
work around for,1,0.0513,0.05129
hidden,1,0.0512,0.05117
the full,1,0.0511,0.05108
seems to work,1,0.051,0.05104
re,12,0.6111,0.05092
quite,2,0.1012,0.05062
hammer,1,0.0506,0.05055
normal,1,0.0505,0.05046
request,3,0.151,0.05033
explicitly,1,0.0503,0.05025
the one,1,0.0502,0.05015
other things,1,0.0501,0.05013
quickly,2,0.1002,0.05008
that do,1,0.05,0.05003
further,2,0.0998,0.04989
this behavior,1,0.0498,0.04977
installation,2,0.0993,0.04966
source,1,0.0497,0.04965
to help,2,0.0992,0.04958
into the,1,0.0496,0.04956
no,20,0.9878,0.04939
figure,2,0.0988,0.04938
does not,8,0.3949,0.04936
CODE in,1,0.0493,0.04931
f,3,0.1477,0.04922
be aware,1,0.049,0.04901
whole,1,0.0489,0.04895
handling,2,0.0979,0.04893
call,5,0.2444,0.04887
thing,5,0.244,0.04879
get an,1,0.0485,0.04846
this approach,1,0.0483,0.04833
about that,2,0.0964,0.0482
icon,1,0.0482,0.04818
around,2,0.0962,0.04812
become,1,0.0481,0.04809
not understand,1,0.048,0.04801
phone,2,0.0959,0.04797
at,18,0.8596,0.04776
a reference,1,0.0477,0.04774
log,4,0.1909,0.04773
stuff,1,0.0476,0.0476
multi,2,0.095,0.04748
0 to,1,0.0474,0.04744
control,1,0.0473,0.04734
symbols,1,0.0473,0.04732
checkboxes,1,0.0473,0.0473
basically,3,0.1418,0.04726
find all,1,0.0471,0.04712
control the,1,0.0471,0.04706
way through,1,0.047,0.04697
such a thing,1,0.047,0.04696
that many,1,0.0469,0.0469
very ugly,1,0.0465,0.04649
what i,1,0.0464,0.04642
m trying to,1,0.0463,0.04626
?,98,4.521,0.04613
interface,2,0.0922,0.04612
to change,1,0.0461,0.04605
a better,2,0.092,0.04598
put the,1,0.0459,0.04593
trying,4,0.1834,0.04586
rather than,3,0.1375,0.04584
do not,17,0.7761,0.04565
i wanted to,2,0.0905,0.04527
d,7,0.3164,0.0452
was not,1,0.0451,0.04514
it to work,1,0.0451,0.04512
click on,1,0.0451,0.04509
be much,2,0.0898,0.0449
the application,3,0.1345,0.04483
not work for,1,0.0448,0.04483
entry,2,0.0894,0.04472
instance of,1,0.0447,0.0447
it,73,3.2594,0.04465
are just,1,0.0446,0.04458
and not,2,0.0891,0.04457
i can,3,0.1336,0.04454
do ?,2,0.0889,0.04445
linq to sql,1,0.0444,0.04442
be quite,1,0.0444,0.04439
did you ever,1,0.0443,0.04435
timer,1,0.0443,0.04433
load,3,0.1329,0.04431
on the server,1,0.0443,0.04427
pre,1,0.0442,0.04421
running,1,0.0442,0.04421
problem is that,1,0.044,0.04399
created,2,0.0879,0.04396
are using,1,0.0438,0.04384
to get this,1,0.0438,0.04382
different,6,0.2628,0.04379
find,10,0.4372,0.04372
suffering from,1,0.0435,0.04352
have the following,1,0.0433,0.04335
apparently,2,0.0866,0.04332
be and,1,0.0432,0.04317
but it,1,0.0432,0.04317
i assume,1,0.0429,0.04293
m not,2,0.0857,0.04287
i m not,2,0.0857,0.04287
because it,1,0.0428,0.04285
def,1,0.0427,0.04272
it an,1,0.0427,0.04271
has many,1,0.0426,0.0426
documents,2,0.0848,0.04241
2012,1,0.0424,0.04238
rows,1,0.0424,0.04236
16,2,0.0845,0.04227
i open,1,0.0422,0.04224
ctrl,2,0.0842,0.04209
here is,3,0.1261,0.04203
working with,1,0.042,0.04195
was a,1,0.0419,0.04188
unicode,2,0.0836,0.04178
for windows,1,0.0418,0.04177
documentation on,1,0.0418,0.04177
and what,1,0.0417,0.04174
query,4,0.1663,0.04158
it to,1,0.0416,0.04156
call a,2,0.083,0.0415
old and,1,0.0413,0.04128
the width of,1,0.0412,0.04122
2008,3,0.1236,0.0412
few things,1,0.0412,0.04119
shown,1,0.0411,0.04113
? for example,1,0.041,0.04104
run the,1,0.041,0.04102
a plugin,1,0.0409,0.04086
your program,1,0.0408,0.04079
model,1,0.0408,0.04075
edit,1,0.0407,0.0407
of you,1,0.0405,0.04051
position,1,0.0404,0.04045
it is also,1,0.0404,0.04044
yes,3,0.1213,0.04043
about ?,1,0.0404,0.04038
vs 2008,2,0.0807,0.04037
holding,1,0.0403,0.04031
need a,1,0.0402,0.04024
you probably,1,0.0402,0.04018
and just,1,0.0402,0.04015
tool,1,0.0398,0.03981
terms of,1,0.0397,0.03967
when you,4,0.1579,0.03947
knowledge,1,0.0394,0.0394
example you,1,0.0393,0.03933
does anyone,1,0.0393,0.0393
at least,2,0.0786,0.03928
and some,1,0.0391,0.03915
a map,2,0.0783,0.03914
k,1,0.0391,0.03906
the function,3,0.1167,0.03892
the problem is,1,0.0387,0.03873
what they,1,0.0386,0.03863
the only thing,1,0.0386,0.0386
only thing,1,0.0386,0.0386
you may want,1,0.0385,0.03854
